Athlete ID,Gender,Collegiate Division,Year,Power-5 Conference 
1,male,D1,Freshman,1
2,male,D1,Senior,0
3,male,D1,Freshman,0
4,male,D1,Junior,0
5,male,D1,Junior,0
6,male,D1,Freshman,0
7,male,D1,Freshman,1
8,male,D1,Sophmore,1
9,male,D1,Sophmore,1
10,male,D1,Freshman,1
11,male,D1,Senior,1
12,male,D1,Junior,1
13,male,D1,Freshman,1
14,male,D3,Freshman,0
15,male,D3,Sophmore,0
16,male,D1,Sophmore,0
17,male,D1,Sophmore,0
18,male,D1,Junior,0
19,male,D1,Sophmore,0
20,male,D1,Junior,1
21,male,D1,Junior,0
22,male,D1,Junior,1
23,male,D3,Junior,0
24,male,D1,Junior,1
25,male,D1,Freshman,0
26,male,NAIA,Freshman,0
27,male,D1,Freshman,1
28,male,D3,Sophmore,0
29,male,D1,Junior,0
30,male,D1,Sophmore,0
31,male,D1,Sophmore,0
32,female,D1,Freshman,1
33,male,D1,Freshman,0
34,female,D1,Junior,1
35,female,D1,Sophmore,0
36,female,D1,Junior,1
37,female,D1,Senior,0
38,female,D1,Graduate,0
39,female,D1,Graduate,0
40,male,D1,Junior,1
41,male,Junior College,Sophmore,1
42,male,D1,Sophmore,0
43,male,D1,Junior,1
44,male,D1,Junior,1
45,female,D1,Junior,1
46,male,D1,Junior,1
47,male,D1,Freshman,1
48,male,D1,Freshman,1
49,male,D1,Freshman,1
50,male,Club Sport,Junior,0
51,male,D1,Junior,0
52,male,D1,Junior,0
53,male,D1,Senior,0
54,female,D1,Junior,1
55,male,D1,Junior,0
56,female,D1,Graduate,0
57,male,D1,Junior,1
58,female,D1,Junior,1
59,male,D1,Junior,1
60,female,D1,Sophmore,0
61,male,D1,Freshman,1
62,male,D1,Freshman,1
63,male,D1,Freshman,1
64,male,D1,Junior,1
65,male,D1,Junior,1
66,female,D3,Junior,0
67,male,D1,Junior,0
68,male,D1,Freshman,1
69,female,D1,Sophmore,1
70,male,D1,Sophmore,0
71,female,D1,Sophmore,1
72,male,D1,Freshman,0
73,male,D1,Senior,1
74,male,D1,Junior,1
75,female,D1,Sophmore,1
76,male,D1,Senior,0
77,female,D1,Sophmore,1
78,male,D1,Junior,1
79,male,D1,Sophmore,1
80,male,D1,Freshman,1
81,male,D1,Sophmore,1
82,male,D1,Senior,1
83,male ,D1,Sophmore,0
84,male,D1,Freshman,1
85,male,D1,Sophmore,0
86,male,D1,Senior,0
87,male,D1,Senior,1
88,female,D1,Junior,1
89,male,D1,Sophmore,1
90,female,D1,Junior,1
91,male,D1,Sophmore,1
92,male,D1,Freshman,1
93,male ,D1,Sophmore,1
94,male,D3,Graduate,0
95,male,D1,Junior,1
96,male,D1,Senior,1
97,female,D1,Junior,0
98,male,D1,Junior,1
99,male ,D1,Sophmore,1
100,male,D1,Freshman,0
